region,latitude,longitude,available_for_hire_taxis,avg_rain_mm,total_taxi_records_from_api,taxi_api_timestamp,rain_api_timestamp,collection_time
Central,1.3,103.83,700,0.0,1911,2026-06-17T00:00:00+08:00,2026-06-17T00:00:00+08:00,2026-06-17T00:00:00
East,1.35,103.95,577,0.0,1911,2026-06-17T00:00:00+08:00,2026-06-17T00:00:00+08:00,2026-06-17T00:00:00
North,1.42,103.82,204,0.0,1911,2026-06-17T00:00:00+08:00,2026-06-17T00:00:00+08:00,2026-06-17T00:00:00
Northeast,1.37,103.88,177,0.0,1911,2026-06-17T00:00:00+08:00,2026-06-17T00:00:00+08:00,2026-06-17T00:00:00
Other,1.28,103.76,135,0.0,1911,2026-06-17T00:00:00+08:00,2026-06-17T00:00:00+08:00,2026-06-17T00:00:00
West,1.35,103.7,118,0.0,1911,2026-06-17T00:00:00+08:00,2026-06-17T00:00:00+08:00,2026-06-17T00:00:00
Central,1.3,103.83,713,0.0,1990,2026-06-17T00:05:00+08:00,2026-06-17T00:05:00+08:00,2026-06-17T00:05:00
East,1.35,103.95,599,0.0,1990,2026-06-17T00:05:00+08:00,2026-06-17T00:05:00+08:00,2026-06-17T00:05:00
North,1.42,103.82,219,0.0,1990,2026-06-17T00:05:00+08:00,2026-06-17T00:05:00+08:00,2026-06-17T00:05:00
Northeast,1.37,103.88,185,0.0,1990,2026-06-17T00:05:00+08:00,2026-06-17T00:05:00+08:00,2026-06-17T00:05:00
Other,1.28,103.76,142,0.0,1990,2026-06-17T00:05:00+08:00,2026-06-17T00:05:00+08:00,2026-06-17T00:05:00
West,1.35,103.7,132,0.0,1990,2026-06-17T00:05:00+08:00,2026-06-17T00:05:00+08:00,2026-06-17T00:05:00
Central,1.3,103.83,714,0.0,1915,2026-06-17T00:10:00+08:00,2026-06-17T00:10:00+08:00,2026-06-17T00:10:00
East,1.35,103.95,578,0.0,1915,2026-06-17T00:10:00+08:00,2026-06-17T00:10:00+08:00,2026-06-17T00:10:00
North,1.42,103.82,184,0.0,1915,2026-06-17T00:10:00+08:00,2026-06-17T00:10:00+08:00,2026-06-17T00:10:00
Northeast,1.37,103.88,169,0.0,1915,2026-06-17T00:10:00+08:00,2026-06-17T00:10:00+08:00,2026-06-17T00:10:00
Other,1.28,103.76,129,0.0,1915,2026-06-17T00:10:00+08:00,2026-06-17T00:10:00+08:00,2026-06-17T00:10:00
West,1.35,103.7,141,0.0,1915,2026-06-17T00:10:00+08:00,2026-06-17T00:10:00+08:00,2026-06-17T00:10:00
