longitude,latitude,api_timestamp,collection_time,taxi_status_from_api,region,available_for_hire_taxis
103.83,1.3,2026-06-17T00:00:00+08:00,2026-06-17T00:00:00,available_for_hire_region_count_synthetic,Central,700
103.95,1.35,2026-06-17T00:00:00+08:00,2026-06-17T00:00:00,available_for_hire_region_count_synthetic,East,577
103.82,1.42,2026-06-17T00:00:00+08:00,2026-06-17T00:00:00,available_for_hire_region_count_synthetic,North,204
103.88,1.37,2026-06-17T00:00:00+08:00,2026-06-17T00:00:00,available_for_hire_region_count_synthetic,Northeast,177
103.76,1.28,2026-06-17T00:00:00+08:00,2026-06-17T00:00:00,available_for_hire_region_count_synthetic,Other,135
103.7,1.35,2026-06-17T00:00:00+08:00,2026-06-17T00:00:00,available_for_hire_region_count_synthetic,West,118
103.83,1.3,2026-06-17T00:05:00+08:00,2026-06-17T00:05:00,available_for_hire_region_count_synthetic,Central,713
103.95,1.35,2026-06-17T00:05:00+08:00,2026-06-17T00:05:00,available_for_hire_region_count_synthetic,East,599
103.82,1.42,2026-06-17T00:05:00+08:00,2026-06-17T00:05:00,available_for_hire_region_count_synthetic,North,219
103.88,1.37,2026-06-17T00:05:00+08:00,2026-06-17T00:05:00,available_for_hire_region_count_synthetic,Northeast,185
103.76,1.28,2026-06-17T00:05:00+08:00,2026-06-17T00:05:00,available_for_hire_region_count_synthetic,Other,142
103.7,1.35,2026-06-17T00:05:00+08:00,2026-06-17T00:05:00,available_for_hire_region_count_synthetic,West,132
103.83,1.3,2026-06-17T00:10:00+08:00,2026-06-17T00:10:00,available_for_hire_region_count_synthetic,Central,714
103.95,1.35,2026-06-17T00:10:00+08:00,2026-06-17T00:10:00,available_for_hire_region_count_synthetic,East,578
103.82,1.42,2026-06-17T00:10:00+08:00,2026-06-17T00:10:00,available_for_hire_region_count_synthetic,North,184
103.88,1.37,2026-06-17T00:10:00+08:00,2026-06-17T00:10:00,available_for_hire_region_count_synthetic,Northeast,169
103.76,1.28,2026-06-17T00:10:00+08:00,2026-06-17T00:10:00,available_for_hire_region_count_synthetic,Other,129
103.7,1.35,2026-06-17T00:10:00+08:00,2026-06-17T00:10:00,available_for_hire_region_count_synthetic,West,141
103.83,1.3,2026-06-17T00:15:00+08:00,2026-06-17T00:15:00,available_for_hire_region_count_synthetic,Central,692
103.95,1.35,2026-06-17T00:15:00+08:00,2026-06-17T00:15:00,available_for_hire_region_count_synthetic,East,560
103.82,1.42,2026-06-17T00:15:00+08:00,2026-06-17T00:15:00,available_for_hire_region_count_synthetic,North,205
103.88,1.37,2026-06-17T00:15:00+08:00,2026-06-17T00:15:00,available_for_hire_region_count_synthetic,Northeast,186
103.76,1.28,2026-06-17T00:15:00+08:00,2026-06-17T00:15:00,available_for_hire_region_count_synthetic,Other,139
103.7,1.35,2026-06-17T00:15:00+08:00,2026-06-17T00:15:00,available_for_hire_region_count_synthetic,West,119
103.83,1.3,2026-06-17T00:20:00+08:00,2026-06-17T00:20:00,available_for_hire_region_count_synthetic,Central,682
103.95,1.35,2026-06-17T00:20:00+08:00,2026-06-17T00:20:00,available_for_hire_region_count_synthetic,East,578
103.82,1.42,2026-06-17T00:20:00+08:00,2026-06-17T00:20:00,available_for_hire_region_count_synthetic,North,190
103.88,1.37,2026-06-17T00:20:00+08:00,2026-06-17T00:20:00,available_for_hire_region_count_synthetic,Northeast,196
103.76,1.28,2026-06-17T00:20:00+08:00,2026-06-17T00:20:00,available_for_hire_region_count_synthetic,Other,146
103.7,1.35,2026-06-17T00:20:00+08:00,2026-06-17T00:20:00,available_for_hire_region_count_synthetic,West,139
103.83,1.3,2026-06-17T00:25:00+08:00,2026-06-17T00:25:00,available_for_hire_region_count_synthetic,Central,671
103.95,1.35,2026-06-17T00:25:00+08:00,2026-06-17T00:25:00,available_for_hire_region_count_synthetic,East,568
103.82,1.42,2026-06-17T00:25:00+08:00,2026-06-17T00:25:00,available_for_hire_region_count_synthetic,North,223
103.88,1.37,2026-06-17T00:25:00+08:00,2026-06-17T00:25:00,available_for_hire_region_count_synthetic,Northeast,198
103.76,1.28,2026-06-17T00:25:00+08:00,2026-06-17T00:25:00,available_for_hire_region_count_synthetic,Other,140
103.7,1.35,2026-06-17T00:25:00+08:00,2026-06-17T00:25:00,available_for_hire_region_count_synthetic,West,155
103.83,1.3,2026-06-17T00:30:00+08:00,2026-06-17T00:30:00,available_for_hire_region_count_synthetic,Central,640
